restaurant_name,cuisines,ratings,address,timings,phone,must_haves,price,more_info,description,rating_count
Souza Lobo,"Finger Food, Seafood, North Indian, Fast Food, Chinese, Desserts",4.4,"Calangute Beach, Calangute, Goa",12noon – 12midnight (Today),+919529318812,"Airy, well laid out restaurant with a no-fuss rustic charm offering a variety of seafood","Outside Seating, Beautiful Sea View, Lovely Food, Amazing Location, Perfect View, Perfect Location","Takeaway Available
Full Bar Available
Desserts and Bakes
Seaview
Table booking recommended
Smoking Area
Outdoor Seating
Family Friendly
Live Music
Indoor Seating","Fish Cafreal, Lobsters, Veg Xacuti, Blueberry Cheesecake, Stuffed Crab, Chocolate Mousse","1,743"
Jambalaya Bar & Restaurant,"North Indian, Salad, Continental, Seafood, Goan, Chinese, Desserts, Bar Food",4.3,"Candolim, Goa",12noon – 12midnight (Today),+917276003712,"₹1,200 for two people (approx.) Without alcohol",,"Home Delivery
Takeaway Available
Full Bar Available
Smoking Area
Live Music
DJ
Serves Cocktails
Live Sports Screening
Indoor Seating
Valet Parking Available
Desserts and Bakes","Exclusive of applicable taxes and charges, if any",18
The Bodhi Tree Cafe And Bar,"North Indian, Chinese, Seafood, Fast Food, Goan, Beverages, Sichuan",4.1,"Morjim, Goa",9am – 1am (Today),+917798747461,"Excellent Food and Service, Location of the Restaurant, Ambience was Super Cool, Seaview, Good Wifi, Worth the Money","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",₹500 for two people (approx.),141
Roboto,"Japanese, Korean, Asian, Bar Food, Desserts",3.9,"Anjuna, Goa",12:30pm – 11pm (Today),+918010831200,"₹1,200 for two people (approx.) Without alcohol",,Digital payments accepted,"Exclusive of applicable taxes and charges, if any",11
Terttulia,"Pizza, Italian, Continental, Bar Food, Desserts",-,"Panaji, Goa",12noon – 12midnight (Today),+918928024518,"₹2,000 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",2
Mystras,"Salad, Asian, Arabian, Italian, Seafood, Continental, Fast Food",4.4,"Assagao, Goa",12noon – 12midnight (Today),+919226003173,"₹1,700 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",21
SOPÓ,"Burmese, Desserts, Asian",3.9,"Assagao, Goa",12:30pm – 11:30pm (Today),+918830329902,"₹1,400 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",8
Gshot Coffee Roastery & Cafe,"Cafe, Healthy Food, Bakery, Pizza, Desserts, Juices, Coffee, Sandwich",4.1,"Assagao, Goa",8:30am – 8pm (Today),+919284462923,"Food Presentation, Environment, Cafe, Quality, Menu, Ambience","Exclusive of applicable taxes and charges, if any","Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","₹1,300 for two people (approx.)",56
Kasa 'N' Koox,"Japanese, Seafood",3.9,"Vagator, Goa",12:30pm – 12midnight (Today),+919168601304,"₹2,500 for two people (approx.) Without alcohol",,"Home Delivery
Takeaway Available
Serves Alcohol
Table booking recommended
Outdoor Seating
Indoor Seating","Exclusive of applicable taxes and charges, if any",14
Bombil Restaurant,"Goan, Seafood",4.7,"Panaji, Goa","12noon – 4pm, 7:30pm – 10pm (Today)",+917066124777,"Pocket Friendly, Servings, Vibe, Fresh Food, Good Quality, Menu","Exclusive of applicable taxes and charges, if any","Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts",₹500 for two people (approx.),75
Tito's Restaurant,"Goan, North Indian, Mughlai, Seafood, Chinese, Sushi, Pasta",3.9,"Baga, Goa",12noon – 2:30am (Today),+919822765002,"Multi cuisine restaurant, with a breathtaking panoramic view of Baga beach","₹1,800 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Celebrity Frequented
Indoor Seating
Outdoor Seating
Family Friendly
Smoking Area","Excellent Ambience, Helpful Staff, Good Crowd, Awesome Ambience, Great Music, Awesome Place",775
Sheetal Dhaba,"North Indian, Chinese, Fast Food, Street Food, Beverages",3.8,"Nerul, Goa",10am – 12midnight (Today),+918055002102,₹400 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",16
The Krunch Story,"Cafe, Continental, Fast Food, Burger, Sandwich, Beverages, Shake",3.9,"Panaji, Goa",9:15am – 8:30pm (Today),+918828388038,₹700 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",41
Rose - Mediterranean Restaurant & Wine Bar,"Mediterranean, Pizza, Italian, Continental, Salad, Desserts",3.9,"Assagao, Goa",12:45pm – 11:30pm (Today),+919112004854,"₹2,200 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",5
Rockpool,"Finger Food, European, Goan, Fast Food, Beverages",4.8,"Vagator, Goa",11am – 12midnight (Today),+919971913020,"Pool, Bar, Amazing Place, View, Great Place, Music","Exclusive of applicable taxes and charges, if any","Takeaway Available
Full Bar Available
DJ
Poolside
Indoor Seating
Smoking Area
Valet Parking Available
Outdoor Seating
Live Music","₹3,000 for two people (approx.) with alcohol",106
Nanbai,"Continental, Sandwich, Desserts, Coffee, Beverages",3.7,"Aquem, Goa",9am – 10pm (Today),+919405503037,₹250 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",8
Rabbit Hole,"Continental, Middle Eastern, Desserts, Fast Food",3.9,"Siolim, Goa",9am – 11:45pm (Today),+917666795681,₹950 for two people (approx.),,,"Exclusive of applicable taxes and charges, if any",12
Kutumbh,"Continental, Chinese, Goan, North Indian, Seafood",3.9,"Panaji, Goa",11:30am – 10:30pm (Today),+919527828780,₹800 for two people (approx.),,"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Exclusive of applicable taxes and charges, if any",22
Just Lobo's,"Goan, North Indian, Chinese, Continental, Middle Eastern, Biryani, Desserts, Beverages",4.3,"Calangute, Goa",9am – 12:30am (Today),+917888439712,"Breakfast Platter, Chicken Handi, Goan Prawn Curry, Sea Food Platter, Lobster, Dal Tadka","₹1,800 for two people (approx.) Without alcohol","Breakfast
Home Delivery
Full Bar Available
Outdoor Seating
Kid Friendly
Wifi
Smoking Area
Family Friendly","Amazing Food and Experience, Good for Large Groups, Gastronomical Experience, Relaxed Atmosphere, Nice Service, Worth the Money",698
Bacchus Bar & Kitchen,"Cafe, Continental, Fast Food, Bakery, Pasta, Coffee, Beverages, Shake",4.1,"Anjuna, Goa","12:15am – 4am, 11am – 11:45pm (Today)",+918793690029,₹850 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",33
Beno,"Continental, Bar Food, European, Fast Food, Street Food, Healthy Food, Desserts, Beverages",4.5,"Benaulim, Goa",Opens at 7pm,+918468940150,"Great Place for Family, Fair Prices, Comforting Atmosphere, Great Vibe, Presentation, Portion Size","Exclusive of applicable taxes and charges, if any","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
Live Music
Vegan Options
Desserts and Bakes
Outdoor Seating
Indoor Seating","₹1,100 for two people (approx.) Without alcohol",277
Sappadu,"South Indian, Desserts, Beverages",4.4,"Assagao, Goa",9am – 4:30pm (Today),+919699766555,"South Indian Food, Best in Service, Nice Concept, Cooperative Staff, Served Quickly, Best Food under Best Budget","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",₹600 for two people (approx.),61
Urban Nawab,"North Indian, Mughlai, Biryani, Desserts",4.3,"Vagator, Goa","12noon – 4pm, 7pm – 1am (Today)",+917984002262,"Delicious Taste, Served Quickly, Proper Packaging, Tasty Food, Elaborate Menu, Quantity","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Karaoke
Live Sports Screening
Outdoor Seating
Indoor Seating
Desserts and Bakes
Live Entertainment
Live Music
Serves Cocktails
Family Friendly
Smoking Area",₹950 for two people (approx.) Without alcohol,28
Bloom And Brew,"Continental, Fast Food, Mexican, Desserts, Cafe, Beverages",3.9,"Assagao, Goa",9:30am – 6pm (Today),+919511603598,"₹1,200 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",6
Mike's Place,"North Indian, Seafood, Chinese",4.2,"Cavelossim, Goa",8:30am – 11pm (Today),+918322871248,"Live Band, Comfortable Seating Area, Portion Size, Live Music, Good Music, Prices","Exclusive of applicable taxes and charges, if any","Breakfast
Takeaway Available
Full Bar Available
Indoor Seating
Wifi
Outdoor Seating","₹1,400 for two people (approx.) Without alcohol",207
Tuscany Gardens,"Continental, Italian, Pizza, Salad, Beverages",4.6,"Candolim, Goa",12:15pm – 11pm (Today),+919922914663,A garden restaurant that provides a calm and intimate ambience,"Romantic Place, Serving Time, Quality of Food, Sitting Area, Great Value, Good Options","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Family Friendly
Outdoor Seating
Romantic Dining","Spinach Risotto, Pesto Pasta, Bruschetta, Ravioli, Pepperoni Pizza, Lasagne",561
Tuscany Gardens,"Continental, Italian, Pizza, Salad, Beverages",4.6,"Candolim, Goa",12:15pm – 11pm (Today),+919922914663,A garden restaurant that provides a calm and intimate ambience,"Romantic Place, Serving Time, Quality of Food, Sitting Area, Great Value, Good Options","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Family Friendly
Outdoor Seating
Romantic Dining","Spinach Risotto, Pesto Pasta, Bruschetta, Ravioli, Pepperoni Pizza, Lasagne",561
Fiza Biryani,"Biryani, North Indian, Shawarma, Chinese",3.7,"Panaji, Goa","12midnight – 12:30am, 12noon – 12midnight (Today)",+919579023813,₹500 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",10
Baozi,"Asian, Chinese",4.4,"Anjuna, Goa",12noon – 11pm (Today),+919818345987,"Authentic, Best in Service, Fair Prices, Served Quickly, Good Options, Outdoor Seating","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",₹850 for two people (approx.),114
Bo Tai,"Thai, Japanese, Asian, Pizza, Beverages",4.2,"Vagator, Goa",12:30pm – 12midnight (Today),+919145232322,"₹3,500 for two people (approx.) Without alcohol",,"Home Delivery
Serves Alcohol
Serves Cocktails
Family Friendly
Indoor Seating
Luxury Dining
Outdoor Seating
Live Music
Table booking recommended
Smoking Area
DJ","Exclusive of applicable taxes and charges, if any",113
Raasta Goa,"Bar Food, Continental, Italian, Asian, Pizza, Shake, Beverages, Desserts",3.9,"Vagator, Goa",12noon – 1am (Today),+917420835277,"₹1,500 for two people (approx.) with alcohol",,"Takeaway Available
Full Bar Available
Indoor Seating
Smoking Area
Desserts and Bakes
Live Music
Table reservation required
Live Sports Screening
Outdoor Seating
DJ
Serves Cocktails
Live Entertainment","Exclusive of applicable taxes and charges, if any",7
Chef Slicy's,"Goan, Fast Food",3.9,"Margao, Goa",8am – 1am (Today),+919763553066,"Food Tastes Great, Sanitised Service, Excellent Location, Wonderful Presentation, Perfect Presentation, Concept","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",₹400 for two people (approx.),39
The Miri,"Goan, North Indian, Chinese, Fast Food, Desserts, Beverages",3.6,"Panaji, Goa",12noon – 11pm (Today),+919370719685,"₹1,400 for two people (approx.)",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",19
Antonio,"Goan, Portuguese",4.1,"Panaji, Goa",11am – 11pm (Today),+918380057888,"Vibe, Hospitality, Fresh Food, Good Quality, Staff","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Table booking recommended","₹1,300 for two people (approx.) Without alcohol",23
Jamun,"North Indian, South Indian, Goan, Seafood, Biryani, Parsi, Desserts",4.7,"Assagao, Goa",Opens at 7pm,+917823899945,"Mutton, Seafood, Butter Chicken, Drinks, Thali","₹1,800 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Wifi
Indoor Seating
Outdoor Seating","Portion Size was Good, Dining Room, Outdoor Seating, Manager, Family Crowd, Elaborate Menu",178
Gagan's,"North Indian, Chinese, Salad, Fast Food, Biryani, Thai, Seafood, Desserts",4.0,"Varca, Goa",11:30am – 11pm (Today),+918928134326,₹700 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",26
Xero Degrees,"Cafe, Coffee, Italian, Salad, Fast Food, Waffle, Shake, Beverages",New,"Panaji, Goa",11am – 11pm (Today),+919021458619,₹600 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",Newly Opened
Raki Modern Mezze And More,"Kebab, Lebanese, Middle Eastern, Egyptian, Turkish",3.8,"Panaji, Goa",12noon – 12midnight (Today),+917770015361,"₹1,800 for two people (approx.)",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",17
Route 66,"Italian, Continental, American, Burger, Pasta, Salad, Desserts, Beverages",4.5,"Panaji, Goa",12noon – 11pm (Today),+919623922796,"A smoke house serving cheese burgers, steaks with fries, and an assortment of American grills","Great Recommendations, Cozy Place, Nice Music, Great Value, Good Value, Great Menu","Home Delivery
Takeaway Available
Full Bar Available
Table booking recommended
Smoking Area
Indoor Seating
Family Friendly
Desserts and Bakes","Tequila Chicken, Hamburger, Cheese Cakes, Cheese Garlic Bread, Milkshakes, Nachos",957
Sonic,"Goan, Seafood, BBQ, Continental, Italian, North Indian, Desserts, Beverages",3.8,"Anjuna Beach, Anjuna, Goa",11am – 11pm (Today),+919158528991,"View, Good Place, Location, Ambiance, Good Food, Music","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Romantic Dining
Wifi
Seaview","₹1,300 for two people (approx.) Without alcohol",69
Spring Onion,"Chinese, Seafood, Thai, Korean, Sichuan, Oriental, Desserts, Beverages",4.0,"Calangute, Goa","12noon – 4pm, 7pm – 12midnight (Today)",+917757999649,₹950 for two people (approx.),,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",35
Mallu Republic,"Kerala, South Indian, Seafood, Mughlai",4.2,"Panaji, Goa",11am – 11pm (Today),+919175155316,"Fried Quail, Appam, Beef Roast, Chicken",₹500 for two people (approx.),"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Food Packaging, Delicious, Good Price, Amazing Taste, Comforting Atmosphere, Perfect Presentation",104
Pet Pooja Pure Veg Restaurant,"North Indian, Gujarati, Street Food, Shake, Beverages",4.4,"Vagator, Goa","12noon – 4pm, 7pm – 1am (Today)",+917507390243,"Pure Veg, Ample Seating Area, Nice Ambience, Best Food under Best Budget, Good Ambience, Courteous Staff","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Vegetarian Only
Full Bar Available
Live Sports Screening
Outdoor Seating
Indoor Seating
Wifi
Smoking Area
Desserts and Bakes",₹700 for two people (approx.) Without alcohol,198
Sea,"Asian, Seafood, Beverages",4.4,"Assagao, Goa","12noon – 4pm, 6:30pm – 11pm (Today)",+919809102007,"Roti Jala, Thai Green Curry Veg, Citrus Salad, Prawn Crackers, Vegetable Stew, Veg Spring Roll","₹2,000 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Serves Alcohol
Outdoor Seating
Indoor Seating
Live Music
Family Friendly","Decor and Seating Outside, Music and Feel, Menu Choice, Food Packaging, Tamper Proof Packaging, Perfect Presentation",332
Happy Soul,"Healthy Food, Continental, Middle Eastern, South Indian, Salad, Sandwich",3.9,"Assagao, Goa",Opens on Sunday at 8:30am,+917378581120,"₹1,200 for two people (approx.)",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",14
Uncle Tim's,"Continental, Pasta, Mexican, Steak, Juices, Beverages",3.9,"Porvorim, Goa",11am – 11pm (Today),+919112085029,"₹1,000 for two people (approx.) Without alcohol",,"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Exclusive of applicable taxes and charges, if any",7
Cuebebar,"Goan, Continental, Steak, BBQ, Seafood, Desserts",4.6,"Vagator, Goa",12noon – 11pm (Today),+919607096166,"Chicken Breast Sandwich, Pulled Pork, Meat Platter, Tacos, Pork Ribs, Wings","₹1,700 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Family Friendly
Indoor Seating","Casual Seating Area, Cordial Staff, Lip Smacking Food, Cozy Ambiance, Great Recommendations, Low Price",218
The Square - Novotel Goa Shrem Hotel,"North Indian, Continental, Asian, Fast Food, Sandwich, Burger, Desserts, Beverages",4.1,"Novotel Goa Shrem Hotel, Candolim, Goa",8am – 12midnight (Today),+918327112223,"Breakfast, Chef, Hospitality, Amazing Food, Great Service, Courteous Staff","Exclusive of applicable taxes and charges, if any","Breakfast
Takeaway Available
Full Bar Available
Indoor Seating
Desserts and Bakes
4/5 Star
Wifi
Table booking recommended
Family Friendly","₹2,500 for two people (approx.) Without alcohol",131
Spice Traders - W Goa,"Thai, Chinese, Japanese, Sri Lankan, Vietnamese",4.6,"W Goa, Vagator, Goa",1pm – 11:30pm (Today),+917830777775,"Sophisticated, Trained Staff, Great Recommendations, Good Options, Great Service, Amazing Food","Exclusive of applicable taxes and charges, if any","Takeaway Available
Wheelchair Accessible
Wine and Beer
Outdoor Seating
Indoor Seating
4/5 Star
Luxury Dining
Smoking Area
Live Music
Serves Cocktails
Private Dining Area Available
Desserts and Bakes","₹4,200 for two people (approx.) Without alcohol",166
Prana Cafe,"Continental, Healthy Food",3.6,"Anjuna, Goa",9am – 11pm (Today),+917447748006,"Best Staff, Comforting Atmosphere, Fresh Food with Good Quality, Delicious Taste, Clean and Hygienic Place, Served Quickly","Exclusive of applicable taxes and charges, if any","Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts",₹800 for two people (approx.),39
Idā - Boutique Bar & Kitchen,"Portuguese, Goan, North Indian, Beverages",4.4,"Vagator, Goa",10am – 10pm (Today),+919326746848,"Authentic, Fusion Dishes, Host, Decor, Chef, Portions","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages","₹1,700 for two people (approx.)",136
Ritz Classic,"Goan, Continental, Asian, Japanese, Chinese, Seafood, Desserts, Beverages",4.3,"Margao, Goa",11am – 10:45pm (Today),+917972097459,"Interior, Quality Food, Affordable Prices, Decor, Best Food under Best Budget, Portions","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Desserts and Bakes","₹1,500 for two people (approx.) Without alcohol",57
Gunpowder,"Finger Food, South Indian, Seafood, Desserts",4.7,"Assagao, Goa",Opens tomorrow at 12noon,+917972591678,"Kozhi Fry, Kerala Mutton Curry, Malabar Prawn Curry, Egg Appam, Mango Panna Cotta, Mutton Pepper Fry","₹1,700 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Desserts and Bakes
Outdoor Seating
Table reservation required
Wifi","Themed Decor, Relaxed Atmosphere, Comfortable Seating Area, Good Options, Lovely Place, Prompt Service",869
Cafe Sussegado,"Seafood, North Indian, Goan, Desserts, Continental, Chinese",4.5,"Calangute, Goa",12noon – 12midnight (Today),+919850141007,"Curry Crab, Veg Xacuti, Chicken Xacuti, Authentic Goan Food, Chicken Cafreal, Pork","₹1,100 for two people (approx.) with alcohol","Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
DJ
Seaside
Family Friendly
Live Music
Smoking Area
Serves Cocktails
Karaoke","Themed Decor, Comfortable Seating Area, Good Value, Courteous Staff, Decent Place, Nice Ambience",622
Cafe Al Fresco By Cantina Bodega,"Cafe, American, Fast Food, Beverages",4.4,"Panaji, Goa",10am – 6:30pm (Today),+918322421315,"Salmon Bagel, Cup Cakes, Berry Smoothie, Dessert Counter, Cupcakes, Quiche",₹950 for two people (approx.),"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Beautiful Cafe, Calm, Art, Good Value, Environment, Perfect Place",770
Piccola Roma,"Continental, Italian, Pizza, Goan, Fast Food, Desserts, Coffee, Beverages",4.2,"Vagator, Goa",8am – 11pm (Today),+917507806821,Wood Fired Pizzas,"Cheap, Extensive Bar Menu, Cozy Ambience, Food Service, Ample Seating Area, Gastronomical Experience","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
Live Entertainment
Live Music
Smoking Area
Desserts and Bakes
Craft Beer
Outdoor Seating
Indoor Seating","Mushroom Ravioli, Tiramisu, Pastas, Pizzas, Steak, Sauce",580
Joecons Beach Shack,"Continental, Chinese, Goan, Seafood",4.0,"Benaulim, Goa",9am – 11pm (Today),+918459715411,"Fancy Crowd, Affordable Prices, Shack, Live Music, Hospitality, Food Quality","Exclusive of applicable taxes and charges, if any","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
DJ
Outdoor Seating
Indoor Seating
Table booking recommended
Family Friendly
Smoking Area
Live Music
Seaview
Wifi",₹950 for two people (approx.) Without alcohol,302
Casanova,"Seafood, North Indian, Fast Food",3.9,"Palolem, Goa",9am – 11:30pm (Today),Not available for this place,₹800 for two people (approx.),,"Titlie
4.0
DINING
-
DELIVERY
Continental, Seafood, North Indian, Pizza, Italian, Beverages
Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts","Exclusive of applicable taxes and charges, if any",5
Veggie Delight,"North Indian, Chinese, Italian, Continental, Street Food, Momos, Beverages",4.0,"Varca, Goa",8am – 11pm (Today),+919822001122,₹850 for two people (approx.),,"Titlie
4.0
DINING
-
DELIVERY
Continental, Seafood, North Indian, Pizza, Italian, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Exclusive of applicable taxes and charges, if any",27
